"Feeding.Type","Log10.Pred.Mass.Mean","Log10.Pred.Mass.Median","Log10.Prey.Mass.Mean","Log10.Prey.Mass.Median","Log10.SizeRatio.Mean","Log10.SizeRatio.Median"
"Insectivorous","-0.0858536431379306","-0.0675872922666792","-1.29267531462519","-1.35457773065091","-1.20682167148726","-1.13593299107651"
"Piscivorous","3.34938083719067","3.46239799789896","0.710300904876981","0.789580712164425","-2.63907993231369","-2.43933269383026"
"Planktivorous","-1.23531396856292","-1.66554624884907","-5.34066111239019","-6.05948351506743","-4.10534714382726","-4.26717172840301"
"Predacious","2.07587104342544","2.78461729263288","-1.47629375996489","-0.661543506395395","-3.55216480339033","-3.60069619171797"
"Predacious/Piscivorous","2.63357803391732","2.77085201164214","1.04703454903149","1.13353890837022","-1.58654348488583","-1.61135559075153"
