,Chi-squared,p-value
LabField,1.85624233296491,0.395295707933792
Habitat,5.53665467237039,0.0627669049169542
Con_ForagingMovement,0.645790352858046,0.421621771274451
Con_MovementDimensionality,4.57354352279543,0.101593902398892
